BU Name,Facility Name,Type,Is Open,Opening Date,Closed/End of Emissions Date,Capacity (m2),FTE,Month,Year
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,7,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,8,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,9,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,10,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,11,"2,023"
The Netherlands,Tolstraat Systemiq Share,Office,true,01/01/2023,31/12/2023,223,45,12,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,1,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,2,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,3,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,4,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,5,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,6,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,7,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,8,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,9,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,10,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,11,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,12,"2,022"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2022,01/01/2023,692,,1,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,7,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,1,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,2,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,3,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,4,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,5,"2,023"
United Kingdom,High Holborn Systemiq Share,Office,true,01/01/2023,31/12/2023,692,144,6,"2,023"
