Activity Name,Sub Activity Name,Org / Business Unit Name,Number of Days With Emissions,Month,Financial Year,Facility Name,Type,Emission Start Date,Emission End Date,Input Quantity,Input Unit,Number of Days in Emissions Period,Total days in a month,gas_type,fuel_type,waste_type,waste_treatment_type,waste_category
Water Use,Water Use,Germany,27,2,"2,022",Munich Maximiliansplatz,Office,01/02/2022,27/02/2022,3.11,m3,27,28,,,,,
Water Use,Water Use,The Netherlands,31,1,"2,022",Tolstraat Systemiq Share,Office,01/01/2022,31/01/2022,6.07,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,1,1,"2,022",Tolstraat Systemiq Share,Office,01/01/2022,01/01/2022,,,1,31,,,,,
Water Use,Water Use,The Netherlands,28,2,"2,022",Tolstraat Systemiq Share,Office,01/02/2022,28/02/2022,5.48,m3,28,28,,,,,
Water Use,Water Use,The Netherlands,31,3,"2,022",Tolstraat Systemiq Share,Office,01/03/2022,31/03/2022,6.07,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,30,4,"2,022",Tolstraat Systemiq Share,Office,01/04/2022,30/04/2022,5.87,m3,30,30,,,,,
Water Use,Water Use,The Netherlands,31,5,"2,022",Tolstraat Systemiq Share,Office,01/05/2022,31/05/2022,6.07,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,30,6,"2,022",Tolstraat Systemiq Share,Office,01/06/2022,30/06/2022,5.87,m3,30,30,,,,,
Water Use,Water Use,The Netherlands,31,7,"2,022",Tolstraat Systemiq Share,Office,01/07/2022,31/07/2022,6.07,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,31,8,"2,022",Tolstraat Systemiq Share,Office,01/08/2022,31/08/2022,6.07,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,30,9,"2,022",Tolstraat Systemiq Share,Office,01/09/2022,30/09/2022,5.87,m3,30,30,,,,,
Water Use,Water Use,The Netherlands,31,10,"2,022",Tolstraat Systemiq Share,Office,01/10/2022,31/10/2022,6.07,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,30,11,"2,022",Tolstraat Systemiq Share,Office,01/11/2022,30/11/2022,5.87,m3,30,30,,,,,
Water Use,Water Use,The Netherlands,31,12,"2,022",Tolstraat Systemiq Share,Office,01/12/2022,31/12/2022,6.07,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,31,1,"2,023",Tolstraat Systemiq Share,Office,01/01/2023,31/01/2023,7.28,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,28,2,"2,023",Tolstraat Systemiq Share,Office,01/02/2023,28/02/2023,6.58,m3,28,28,,,,,
Water Use,Water Use,The Netherlands,31,3,"2,023",Tolstraat Systemiq Share,Office,01/03/2023,31/03/2023,7.28,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,30,4,"2,023",Tolstraat Systemiq Share,Office,01/04/2023,30/04/2023,7.05,m3,30,30,,,,,
Water Use,Water Use,The Netherlands,31,5,"2,023",Tolstraat Systemiq Share,Office,01/05/2023,31/05/2023,7.28,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,30,6,"2,023",Tolstraat Systemiq Share,Office,01/06/2023,30/06/2023,7.05,m3,30,30,,,,,
Water Use,Water Use,The Netherlands,31,7,"2,023",Tolstraat Systemiq Share,Office,01/07/2023,31/07/2023,7.28,m3,31,31,,,,,
Water Use,Water Use,The Netherlands,18,8,"2,023",Tolstraat Systemiq Share,Office,01/08/2023,18/08/2023,4.23,m3,18,31,,,,,
